gene_id	gene_version	havana_gene	havana_gene_version	gene_name	gene_biotype	gene_source
ENSG00000223972	5	OTTHUMG00000000961	2	DDX11L1	transcribed_unprocessed_pseudogene	havana
ENSG00000227232	5	OTTHUMG00000000958	1	WASH7P	unprocessed_pseudogene	havana
ENSG00000278267	1			MIR6859-1	miRNA	mirbase
ENSG00000243485	4	OTTHUMG00000000959	2	MIR1302-2	lincRNA	ensembl_havana
ENSG00000237613	2	OTTHUMG00000000960	1	FAM138A	lincRNA	havana
ENSG00000268020	3	OTTHUMG00000185779	1	OR4G4P	unprocessed_pseudogene	havana
ENSG00000240361	1	OTTHUMG00000001095	2	OR4G11P	unprocessed_pseudogene	havana
ENSG00000186092	4	OTTHUMG00000001094	2	OR4F5	protein_coding	ensembl_havana
ENSG00000238009	6	OTTHUMG00000001096	2	RP11-34P13.7	lincRNA	ensembl_havana
ENSG00000239945	1	OTTHUMG00000001097	2	RP11-34P13.8	lincRNA	havana
ENSG00000233750	3	OTTHUMG00000001257	3	CICP27	processed_pseudogene	havana
ENSG00000268903	1	OTTHUMG00000182518	2	RP11-34P13.15	processed_pseudogene	havana
ENSG00000269981	1	OTTHUMG00000182738	2	RP11-34P13.16	processed_pseudogene	havana
ENSG00000239906	1	OTTHUMG00000002481	1	RP11-34P13.14	antisense	havana
ENSG00000241860	6	OTTHUMG00000002480	3	RP11-34P13.13	processed_transcript	havana
ENSG00000222623	1			RNU6-1100P	snRNA	ensembl
ENSG00000241599	1	OTTHUMG00000002525	1	RP11-34P13.9	lincRNA	havana
ENSG00000279928	1			FO538757.2	protein_coding	ensembl
ENSG00000279457	3			FO538757.1	protein_coding	ensembl
ENSG00000273874	1			MIR6859-2	miRNA	mirbase
ENSG00000228463	9	OTTHUMG00000002553	3	AP006222.2	lincRNA	havana
ENSG00000241670	3	OTTHUMG00000002552	1	RPL23AP21	processed_pseudogene	havana
ENSG00000236679	2	OTTHUMG00000002854	4	RPL23AP24	processed_pseudogene	havana
ENSG00000236743	1	OTTHUMG00000156971	1	RP5-857K21.15	lincRNA	havana
ENSG00000236601	2	OTTHUMG00000002855	3	RP4-669L17.2	lincRNA	havana
ENSG00000237094	11	OTTHUMG00000156968	6	RP4-669L17.10	lincRNA	ensembl_havana
ENSG00000269732	1	OTTHUMG00000002859	2	WBP1LP7	processed_pseudogene	havana
ENSG00000278566	1	OTTHUMG00000002860	2	OR4F29	protein_coding	ensembl_havana
ENSG00000224813	3	OTTHUMG00000002857	5	SEPT14P13	transcribed_unprocessed_pseudogene	havana
ENSG00000233653	3	OTTHUMG00000057429	3	CICP7	processed_pseudogene	havana
ENSG00000250575	1	OTTHUMG00000002861	2	RP4-669L17.8	unprocessed_pseudogene	havana
ENSG00000278757	1			U6	snRNA	ensembl
ENSG00000230021	8	OTTHUMG00000002331	6	RP5-857K21.4	lincRNA	ensembl_havana
ENSG00000235146	2	OTTHUMG00000002329	1	RP5-857K21.2	lincRNA	havana
ENSG00000225972	1	OTTHUMG00000002338	1	MTND1P23	unprocessed_pseudogene	havana
ENSG00000225630	1	OTTHUMG00000002336	1	MTND2P28	unprocessed_pseudogene	havana
ENSG00000237973	1	OTTHUMG00000002333	2	MTCO1P12	unprocessed_pseudogene	havana
ENSG00000278791	1			MIR6723	miRNA	mirbase
ENSG00000229344	1	OTTHUMG00000002334	1	MTCO2P12	unprocessed_pseudogene	havana
ENSG00000240409	1	OTTHUMG00000002473	1	MTATP8P1	unprocessed_pseudogene	havana
ENSG00000248527	1	OTTHUMG00000002335	2	MTATP6P1	unprocessed_pseudogene	havana
ENSG00000198744	5	OTTHUMG00000002337	2	MTCO3P12	unprocessed_pseudogene	havana
ENSG00000268663	1	OTTHUMG00000002340	3	WBP1LP6	processed_pseudogene	havana
ENSG00000273547	1	OTTHUMG00000002581	2	OR4F16	protein_coding	ensembl_havana
ENSG00000283574	1	OTTHUMG00000191652	1	RP11-206L10.17	transcribed_processed_pseudogene	havana
ENSG00000229376	3	OTTHUMG00000057431	3	CICP3	processed_pseudogene	havana
ENSG00000228327	3	OTTHUMG00000002406	2	RP11-206L10.2	transcribed_unprocessed_pseudogene	havana
ENSG00000223181	1			RNU6-1199P	snRNA	ensembl
ENSG00000229905	1	OTTHUMG00000002408	1	RP11-206L10.4	antisense	havana
ENSG00000237491	8	OTTHUMG00000002404	7	RP11-206L10.9	lincRNA	havana
ENSG00000230092	7	OTTHUMG00000002403	3	RP11-206L10.8	transcribed_unprocessed_pseudogene	havana
ENSG00000177757	2	OTTHUMG00000002471	2	FAM87B	lincRNA	havana
ENSG00000228794	8	OTTHUMG00000002468	7	LINC01128	processed_transcript	havana
ENSG00000225880	5	OTTHUMG00000141258	2	LINC00115	lincRNA	havana
ENSG00000230368	2	OTTHUMG00000002469	1	FAM41C	lincRNA	havana
ENSG00000234711	1	OTTHUMG00000002470	2	TUBB8P11	unprocessed_pseudogene	havana
ENSG00000283040	1	OTTHUMG00000191520	1	FAM166AP3	transcribed_unprocessed_pseudogene	havana
ENSG00000272438	1	OTTHUMG00000185550	1	RP11-54O7.16	lincRNA	havana
ENSG00000230699	2	OTTHUMG00000040716	1	RP11-54O7.1	lincRNA	havana
ENSG00000241180	1	OTTHUMG00000040717	2	RP11-54O7.2	lincRNA	havana
ENSG00000223764	2	OTTHUMG00000040718	2	RP11-54O7.3	lincRNA	havana
ENSG00000187634	11	OTTHUMG00000040719	10	SAMD11	protein_coding	ensembl_havana
ENSG00000188976	10	OTTHUMG00000040720	1	NOC2L	protein_coding	ensembl_havana
ENSG00000187961	13	OTTHUMG00000040721	6	KLHL17	protein_coding	ensembl_havana
ENSG00000187583	10	OTTHUMG00000040756	4	PLEKHN1	protein_coding	ensembl_havana
ENSG00000187642	9	OTTHUMG00000040757	3	PERM1	protein_coding	ensembl_havana
ENSG00000272512	1	OTTHUMG00000185581	1	RP11-54O7.17	lincRNA	havana
ENSG00000188290	10	OTTHUMG00000040758	2	HES4	protein_coding	ensembl_havana
ENSG00000187608	8	OTTHUMG00000040777	3	ISG15	protein_coding	ensembl_havana
ENSG00000231702	2	OTTHUMG00000040759	3	RP11-54O7.10	processed_pseudogene	havana
ENSG00000224969	1	OTTHUMG00000040779	1	RP11-54O7.11	antisense	havana
ENSG00000188157	13	OTTHUMG00000040778	4	AGRN	protein_coding	ensembl_havana
ENSG00000242590	1	OTTHUMG00000040780	1	RP11-54O7.14	sense_intronic	havana
ENSG00000217801	9	OTTHUMG00000000629	3	RP11-465B22.3	transcribed_unprocessed_pseudogene	havana
ENSG00000273443	1	OTTHUMG00000186253	1	RP11-54O7.18	lincRNA	havana
ENSG00000237330	2	OTTHUMG00000185582	1	RNF223	protein_coding	ensembl_havana
ENSG00000131591	17	OTTHUMG00000000745	9	C1orf159	protein_coding	ensembl_havana
ENSG00000223823	1	OTTHUMG00000000827	1	LINC01342	lincRNA	havana
ENSG00000207730	3			MIR200B	miRNA	mirbase
ENSG00000207607	3			MIR200A	miRNA	mirbase
ENSG00000198976	1			MIR429	miRNA	mirbase
ENSG00000272141	1	OTTHUMG00000185583	1	RP11-465B22.8	lincRNA	havana
ENSG00000205231	1	OTTHUMG00000000850	1	TTLL10-AS1	antisense	havana
ENSG00000162571	13	OTTHUMG00000000851	4	TTLL10	protein_coding	ensembl_havana
ENSG00000186891	13	OTTHUMG00000001414	4	TNFRSF18	protein_coding	ensembl_havana
ENSG00000186827	10	OTTHUMG00000001415	3	TNFRSF4	protein_coding	ensembl_havana
ENSG00000078808	16	OTTHUMG00000001812	6	SDF4	protein_coding	ensembl_havana
ENSG00000176022	4	OTTHUMG00000001813	1	B3GALT6	protein_coding	ensembl_havana
ENSG00000184163	3	OTTHUMG00000001412	6	FAM132A	protein_coding	ensembl_havana
ENSG00000260179	1	OTTHUMG00000175732	1	RP5-902P8.12	lincRNA	havana
ENSG00000160087	20	OTTHUMG00000001911	9	UBE2J2	protein_coding	ensembl_havana
ENSG00000230415	1	OTTHUMG00000002234	2	RP5-902P8.10	lincRNA	havana
ENSG00000162572	19	OTTHUMG00000002081	7	SCNN1D	protein_coding	ensembl_havana
ENSG00000131584	18	OTTHUMG00000002235	4	ACAP3	protein_coding	ensembl_havana
ENSG00000278073	1			MIR6726	miRNA	mirbase
ENSG00000169972	11	OTTHUMG00000003361	3	PUSL1	protein_coding	ensembl_havana
ENSG00000127054	19	OTTHUMG00000003330	13	CPSF3L	protein_coding	ensembl_havana
ENSG00000240731	1	OTTHUMG00000003331	1	RP5-890O3.9	sense_intronic	havana
ENSG00000224051	6	OTTHUMG00000003171	3	CPTP	protein_coding	ensembl_havana
ENSG00000169962	4	OTTHUMG00000003071	1	TAS1R3	protein_coding	ensembl_havana
ENSG00000107404	18	OTTHUMG00000003069	4	DVL1	protein_coding	ensembl_havana
ENSG00000162576	16	OTTHUMG00000002973	5	MXRA8	protein_coding	ensembl_havana
ENSG00000175756	13	OTTHUMG00000001413	3	AURKAIP1	protein_coding	ensembl_havana
ENSG00000223663	2	OTTHUMG00000002972	2	NDUFB4P8	processed_pseudogene	havana
ENSG00000221978	11	OTTHUMG00000002917	6	CCNL2	protein_coding	ensembl_havana
ENSG00000224870	6	OTTHUMG00000002908	4	RP4-758J18.2	processed_transcript	havana
ENSG00000242485	5	OTTHUMG00000002916	3	MRPL20	protein_coding	ensembl_havana
ENSG00000264293	2			RN7SL657P	misc_RNA	ensembl
ENSG00000272455	1	OTTHUMG00000185586	1	RP4-758J18.13	lincRNA	havana
ENSG00000235098	8	OTTHUMG00000002911	4	ANKRD65	protein_coding	ensembl_havana
ENSG00000225905	1	OTTHUMG00000002912	1	RP4-758J18.7	antisense	havana
ENSG00000205116	3	OTTHUMG00000153395	3	TMEM88B	protein_coding	ensembl_havana
ENSG00000225285	1	OTTHUMG00000002915	2	RP4-758J18.10	lincRNA	havana
ENSG00000179403	11	OTTHUMG00000002975	5	VWA1	protein_coding	ensembl_havana
ENSG00000215915	9	OTTHUMG00000000531	7	ATAD3C	protein_coding	ensembl_havana
ENSG00000160072	19	OTTHUMG00000000577	5	ATAD3B	protein_coding	ensembl_havana
ENSG00000197785	13	OTTHUMG00000000575	6	ATAD3A	protein_coding	ensembl_havana
ENSG00000205090	8	OTTHUMG00000042193	3	TMEM240	protein_coding	ensembl_havana
ENSG00000160075	11	OTTHUMG00000000576	5	SSU72	protein_coding	ensembl_havana
ENSG00000215014	4	OTTHUMG00000186983	1	RP5-832C2.5	lincRNA	havana
ENSG00000279244	1			AL645728.1	protein_coding	ensembl
ENSG00000274481	1	OTTHUMG00000187518	1	RP11-345P4.11	processed_pseudogene	havana
ENSG00000228594	3	OTTHUMG00000154864	4	FNDC10	protein_coding	ensembl_havana
ENSG00000272106	1	OTTHUMG00000185588	1	RP11-345P4.9	antisense	havana
ENSG00000197530	12	OTTHUMG00000074647	10	MIB2	protein_coding	ensembl_havana
ENSG00000189409	13	OTTHUMG00000074713	6	MMP23B	protein_coding	ensembl_havana
ENSG00000248333	8	OTTHUMG00000078638	6	CDK11B	protein_coding	ensembl_havana
ENSG00000272004	1	OTTHUMG00000185638	1	RP11-345P4.10	antisense	havana
ENSG00000189339	11	OTTHUMG00000078639	3	SLC35E2B	protein_coding	ensembl_havana
ENSG00000269737	2	OTTHUMG00000182605	1	RP11-345P4.6	transcribed_processed_pseudogene	havana
ENSG00000215914	4	OTTHUMG00000000585	6	MMP23A	unprocessed_pseudogene	havana
ENSG00000008128	22	OTTHUMG00000000703	15	CDK11A	protein_coding	ensembl_havana
ENSG00000268575	1	OTTHUMG00000183552	1	RP1-283E3.8	processed_transcript	havana
ENSG00000227775	3	OTTHUMG00000000825	3	RP1-283E3.4	transcribed_processed_pseudogene	havana
ENSG00000215790	6	OTTHUMG00000000823	5	SLC35E2	protein_coding	ensembl_havana
ENSG00000008130	15	OTTHUMG00000000942	6	NADK	protein_coding	ensembl_havana
ENSG00000078369	17	OTTHUMG00000000940	8	GNB1	protein_coding	ensembl_havana
ENSG00000231050	1	OTTHUMG00000000941	1	RP1-140A9.1	antisense	havana
ENSG00000169885	9	OTTHUMG00000000943	2	CALML6	protein_coding	ensembl_havana
ENSG00000178821	12	OTTHUMG00000000944	7	TMEM52	protein_coding	ensembl_havana
ENSG00000142609	17	OTTHUMG00000000945	16	CFAP74	protein_coding	ensembl_havana
ENSG00000233542	1	OTTHUMG00000041065	1	RP11-547D24.1	antisense	havana
ENSG00000187730	7	OTTHUMG00000041064	2	GABRD	protein_coding	ensembl_havana
ENSG00000226969	1	OTTHUMG00000041087	1	RP11-547D24.3	antisense	havana
ENSG00000067606	16	OTTHUMG00000001238	13	PRKCZ	protein_coding	ensembl_havana
ENSG00000271806	1	OTTHUMG00000185365	1	RP5-892K4.1	antisense	havana
ENSG00000182873	5	OTTHUMG00000001239	2	RP11-181G12.2	antisense	havana
ENSG00000162585	16	OTTHUMG00000001404	7	FAAP20	protein_coding	ensembl_havana
ENSG00000234396	3	OTTHUMG00000001405	2	RP11-181G12.4	lincRNA	havana
ENSG00000157933	9	OTTHUMG00000001407	3	SKI	protein_coding	ensembl_havana
ENSG00000116151	13	OTTHUMG00000001402	6	MORN1	protein_coding	ensembl_havana
ENSG00000272161	1	OTTHUMG00000185693	1	RP4-713A8.1	sense_intronic	havana
ENSG00000269896	2	OTTHUMG00000057495	3	RP4-740C4.5	transcribed_processed_pseudogene	havana
ENSG00000272420	1	OTTHUMG00000185694	1	RP4-740C4.7	sense_intronic	havana
ENSG00000157916	19	OTTHUMG00000001403	5	RER1	protein_coding	ensembl_havana
ENSG00000157911	9	OTTHUMG00000001637	6	PEX10	protein_coding	ensembl_havana
ENSG00000149527	17	OTTHUMG00000000719	4	PLCH2	protein_coding	ensembl_havana
ENSG00000224387	1	OTTHUMG00000000720	1	RP3-395M20.2	antisense	havana
ENSG00000229393	1	OTTHUMG00000000721	1	RP3-395M20.3	antisense	havana
ENSG00000157881	13	OTTHUMG00000000791	4	PANK4	protein_coding	ensembl_havana
ENSG00000197921	5	OTTHUMG00000000793	1	HES5	protein_coding	ensembl_havana
ENSG00000272449	1	OTTHUMG00000185639	1	RP3-395M20.12	lincRNA	havana
ENSG00000238164	6	OTTHUMG00000000818	3	RP3-395M20.8	antisense	havana
ENSG00000157873	17	OTTHUMG00000000792	18	TNFRSF14	protein_coding	ensembl_havana
ENSG00000225931	3	OTTHUMG00000158429	2	RP3-395M20.7	TEC	havana
ENSG00000228037	1	OTTHUMG00000000819	1	RP3-395M20.9	lincRNA	havana
ENSG00000157870	14	OTTHUMG00000000847	5	FAM213B	protein_coding	ensembl_havana
ENSG00000142606	15	OTTHUMG00000000846	4	MMEL1	protein_coding	ensembl_havana
ENSG00000237058	1	OTTHUMG00000039631	1	RP13-436F16.1	antisense	havana
ENSG00000215912	12	OTTHUMG00000000539	10	TTC34	protein_coding	ensembl_havana
ENSG00000283259	1	OTTHUMG00000191647	1	ABC14-1188822O7.1	antisense	havana
ENSG00000233234	1	OTTHUMG00000000564	1	RP11-740P5.2	lincRNA	havana
ENSG00000231630	1	OTTHUMG00000000565	1	RP11-740P5.3	lincRNA	havana
ENSG00000169717	6	OTTHUMG00000000562	1	ACTRT2	protein_coding	ensembl_havana
ENSG00000177133	10	OTTHUMG00000000563	3	LINC00982	antisense	ensembl_havana
ENSG00000142611	16	OTTHUMG00000000581	9	PRDM16	protein_coding	ensembl_havana
ENSG00000283572	1			MIR4251	miRNA	mirbase
ENSG00000226286	1	OTTHUMG00000000624	1	RP1-163G9.2	antisense	havana
ENSG00000279839	1	OTTHUMG00000185775	1	RP11-193J6.1	TEC	havana
ENSG00000272235	1	OTTHUMG00000185641	1	RP11-22L13.1	lincRNA	havana
ENSG00000130762	14	OTTHUMG00000000625	4	ARHGEF16	protein_coding	ensembl_havana
ENSG00000272088	1	OTTHUMG00000185642	1	RP11-168F9.2	lincRNA	havana
ENSG00000162591	15	OTTHUMG00000000611	7	MEGF6	protein_coding	ensembl_havana
ENSG00000207776	1			MIR551A	miRNA	mirbase
ENSG00000238260	1	OTTHUMG00000000613	1	RP11-46F15.2	antisense	havana
ENSG00000158109	14	OTTHUMG00000000609	1	TPRG1L	protein_coding	ensembl_havana
ENSG00000116213	15	OTTHUMG00000000612	5	WRAP73	protein_coding	ensembl_havana
ENSG00000078900	14	OTTHUMG00000000610	6	TP73	protein_coding	ensembl_havana
ENSG00000227589	1	OTTHUMG00000041605	1	RP5-1092A11.5	antisense	havana
ENSG00000235131	1	OTTHUMG00000003412	1	RP5-1092A11.2	antisense	havana
ENSG00000227372	11	OTTHUMG00000003414	5	TP73-AS1	unitary_pseudogene	havana
ENSG00000276189	1			TP73-AS1	misc_RNA	ensembl
ENSG00000162592	9	OTTHUMG00000003504	4	CCDC27	protein_coding	ensembl_havana
ENSG00000235169	7	OTTHUMG00000003505	4	SMIM1	protein_coding	ensembl_havana
ENSG00000130764	9	OTTHUMG00000003506	3	LRRC47	protein_coding	ensembl_havana
ENSG00000266075	2			RN7SL574P	misc_RNA	ensembl
ENSG00000272153	1	OTTHUMG00000185643	1	RP1-286D6.5	antisense	havana
ENSG00000116198	12	OTTHUMG00000003507	5	CEP104	protein_coding	ensembl_havana
ENSG00000169598	15	OTTHUMG00000003525	6	DFFB	protein_coding	ensembl_havana
ENSG00000198912	10	OTTHUMG00000003739	1	C1orf174	protein_coding	ensembl_havana
ENSG00000236423	5	OTTHUMG00000041129	2	LINC01134	lincRNA	havana
ENSG00000233304	6	OTTHUMG00000000499	3	LINC01346	lincRNA	havana
ENSG00000226374	2	OTTHUMG00000000731	2	RP13-614K11.2	lincRNA	havana
ENSG00000229280	1	OTTHUMG00000000732	1	EEF1DP6	processed_pseudogene	havana
ENSG00000235054	3	OTTHUMG00000000733	3	RP5-1166F10.1	lincRNA	havana
ENSG00000227169	2	OTTHUMG00000000646	2	RP1-37J18.1	lincRNA	havana
